incident_characteristics,incident_id,date,state,city_or_county,address,n_killed,n_injured,latitude,location_description,longitude,n_guns_involved
"Shot - Dead (murder, accidental, suicide)||Accidental Shooting||Accidental Shooting - Death||Accidental/Negligent Discharge||Officer Involved Incident",453993,2015-11-25,California,Paradise,Pearson Road,1,0,39.7523,,-121.6,1.0
"Shot - Dead (murder, accidental, suicide)",453037,2015-11-25,California,Baldwin Park (Irwindale),15900 block of E Foothill Blvd,1,0,34.1337,,-117.934,1.0
"Shot - Dead (murder, accidental, suicide)",454005,2015-11-26,California,Richmond,400 block of Market Avenue,1,0,37.9587,,-122.365,
"Shot - Dead (murder, accidental, suicide)",453888,2015-11-26,California,Riverside,Kansas Avenue and 12th Street,1,0,33.9718,,-117.357,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment||Gang involvement",455684,2015-11-27,California,Sacramento,7900 block of Florin Road,2,2,38.495,Vientiane Cafe,-121.41,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",456336,2015-11-28,California,Los Angeles,4400 block of Mercury Avenue,1,0,34.0859,,-118.193,
"Shot - Dead (murder, accidental, suicide)",455407,2015-11-28,California,Burbank,100 block of West Olive Avenue,1,0,34.1772,,-118.313,1.0
"Shot - Dead (murder, accidental, suicide)",456846,2015-11-29,California,Huntington Beach,8600 block of Bradwell Avenue,1,0,33.6603,,-117.999,
"Shot - Dead (murder, accidental, suicide)",455643,2015-11-29,California,Los Angeles,1330 block of Allesandro Street,1,0,34.0803,,-118.263,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",456394,2015-11-29,California,Bakersfield,18th and H Streets,1,0,35.3753,Padre Hotel,-119.021,
"Shot - Dead (murder, accidental, suicide)",456381,2015-12-01,California,Concord,Olivera Road,1,0,37.9977,Hillside Park,-122.042,
"Shot - Dead (murder, accidental, suicide)",456855,2015-12-01,California,Oxnard,100 block of Rio Lindo Street,1,0,34.224,,-119.167,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",456852,2015-12-01,California,Norwalk,Imperial Highway and Pioneer Boulevard,1,0,33.9172,,-118.082,2.0
"Shot - Dead (murder, accidental, suicide)",458219,2015-12-02,California,Sacramento,3900 block of 48th Avenue,1,0,38.5078,,-121.462,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",458221,2015-12-02,California,San Francisco,Gilman Ave and 3rd St,1,0,37.7224,,-122.396,
"Shot - Dead (murder, accidental, suicide)",466708,2015-12-02,California,El Cerrito,1000 block of Leneve Place,1,0,37.9224,,-122.285,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Institution/Group/Business||Officer Involved Incident||Officer Involved Shooting - Officer shot||Officer Involved Shooting - subject/suspect/perpetrator killed||Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Terrorism Involvement||Workplace shooting (disgruntled employee)",456893,2015-12-02,California,San Bernardino,1365 South Waterman Avenue,16,19,34.0758,Inland Regional Center,-117.277,4.0
"Shot - Dead (murder, accidental, suicide)",461262,2015-12-03,California,Alameda,700 block of Buena Vista Avenue,1,0,37.7772,,-122.276,1.0
"Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",459055,2015-12-03,California,Richmond,Hilltop and San Pablo Avenue,1,0,37.986,,-122.335,
"Shot - Dead (murder, accidental, suicide)",460647,2015-12-04,California,Stockton,Houston and Georgia Avenues,1,0,37.9198,,-121.302,
"Shot - Dead (murder, accidental, suicide)",460639,2015-12-04,California,San Diego,2200 block of San Diego Avenue,1,0,32.7475,,-117.191,
"Shot - Dead (murder, accidental, suicide)",460629,2015-12-04,California,El Monte,Ferris Road,1,0,34.0702,,-118.015,
"Shot - Dead (murder, accidental, suicide)",460599,2015-12-04,California,Compton,900 block of West 134th Place,1,0,33.9096,,-118.241,
"Shot - Dead (murder, accidental, suicide)",460563,2015-12-04,California,Fresno,Calveras Street,1,0,36.7577,,-119.792,
"Shot - Dead (murder, accidental, suicide)",497861,2015-12-04,California,Santa Maria,500 block of West Sonya Lane,1,0,34.9279,,-120.453,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Gang involvement",460593,2015-12-05,California,Highland,6th Street and Central Avenue,1,2,34.1104,,-117.218,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",460581,2015-12-05,California,Indio,Avenue 48 and Madison Street,1,0,33.7,,-116.251,
"Shot - Dead (murder, accidental, suicide)",461248,2015-12-05,California,Escondido,3000 block of North Broadway,1,0,33.1976,,-117.089,1.0
"Shot - Dead (murder, accidental, suicide)",461241,2015-12-06,California,Banning,1400 block of High Street,2,0,33.9386,,-116.873,1.0
"Shot - Dead (murder, accidental, suicide)",460631,2015-12-06,California,San Gabriel,1900 block of South Brighton Street,1,0,34.0734,,-118.099,
"Shot - Dead (murder, accidental, suicide)",465020,2015-12-07,California,Marysville,400 block of East 25th Street,1,0,39.1632,,-121.58,
"Shot - Dead (murder, accidental, suicide)",461256,2015-12-07,California,Hayward,28000 block of Biscayne Avenue,1,0,37.6276,,-122.075,
"Shot - Dead (murder, accidental, suicide)||Suicide^",462588,2015-12-08,California,Escondido,3075 North Broadway,1,0,33.1771,,-117.089,1.0
"Shot - Dead (murder, accidental, suicide)",462636,2015-12-08,California,Oakland,7001 Edgewater Drive,1,0,37.7491,Martin Luther King Jr. Regional Shoreline,-122.21,1.0
"Shot - Dead (murder, accidental, suicide)",461838,2015-12-08,California,Bakersfield,Wilson Road and South Chester Avenue,1,0,35.3322,Tommy's Liquor,-119.014,
"Shot - Dead (murder, accidental, suicide)",461844,2015-12-08,California,Madera,South Madera Avenue and El Dorado Drive,1,0,36.9481,,-120.056,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",462668,2015-12-09,California,Los Angeles,8700 block of Beach Street,1,1,33.9585,,-118.242,1.0
"Shot - Dead (murder, accidental, suicide)",466153,2015-12-09,California,Los Angeles,732 North Breed Street,1,0,34.0524,,-118.205,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",466132,2015-12-10,California,Marina,3000 block of Independence Avenue,1,0,36.6727,,-121.792,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Brandishing/flourishing/open carry/lost/found",462598,2015-12-10,California,Hemet,200 block of East Stetson Avenue,1,0,33.7294,Dollar General Market,-116.969,
"Shot - Dead (murder, accidental, suicide)",465018,2015-12-10,California,Sacramento,2300 block of Empress Street,1,0,38.6075,,-121.447,
"Shot - Dead (murder, accidental, suicide)",944000,2015-12-10,California,Fairfield,800 block of Sunset Ct,1,0,38.2616,,-122.021,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",464681,2015-12-12,California,San Bernardino,500 block of North Tiajuana Street,1,0,34.1084,,-117.322,
"Shot - Dead (murder, accidental, suicide)",467248,2015-12-12,California,Yolo (county),Jefferson Boulevard and Courtland Road,1,0,38.3426,,-121.585,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )",464670,2015-12-12,California,Lynwood,12131 Long Beach Blvd,1,0,33.9179,Arco,-118.209,1.0
"Shot - Dead (murder, accidental, suicide)",465016,2015-12-12,California,Carmichael,2800 block of Walnut Avenue,1,0,38.6158,,-121.345,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",464665,2015-12-13,California,Los Angeles,5550 S. Flower Street,1,3,33.9879,Standard Hotel,-118.282,1.0
"Shot - Dead (murder, accidental, suicide)",466149,2015-12-13,California,Santa Ana,4812 West Camille Street,1,0,33.7398,,-117.933,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",466151,2015-12-14,California,Long Beach,2500 block of Long Beach Boulevard,1,0,33.8029,,-118.189,
"Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - subject/suspect/perpetrator killed||Defensive Use||Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator||Defensive Use - Stand Your Ground/Castle Doctrine established",465179,2015-12-14,California,Los Angeles,1700 block of Fifth Avenue,1,0,34.0418,,-118.322,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Officer Involved Shooting - subject/suspect/perpetrator unarmed",466119,2015-12-14,California,Gilroy,6800 block of Filbro Drive,1,0,36.995,,-121.573,
"Shot - Dead (murder, accidental, suicide)",466735,2015-12-15,California,Riverside (county),2000 block of Ridgeview Terrace,1,0,33.879,,-117.607,
"Shot - Dead (murder, accidental, suicide)",467242,2015-12-15,California,Temecula,29605 Solana Way,1,0,33.5145,,-117.15,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",467537,2015-12-16,California,Camarillo,250 block of Carmen Drive,1,0,34.2197,,-119.051,
"Shot - Dead (murder, accidental, suicide)",467236,2015-12-16,California,Corona,Ridgeview Terrace and Via Santiago,1,0,33.8791,,-117.607,
"Shot - Dead (murder, accidental, suicide)",466748,2015-12-16,California,Lodi,Cherokee Lane and Victor Road,1,0,38.1373,,-121.261,
"Shot - Dead (murder, accidental, suicide)",466750,2015-12-16,California,Stockton,600 block of East Eighth Street,1,0,37.9303,,-121.277,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite",467533,2015-12-17,California,Ventura,1600 block of Tapir Circle,1,1,34.2628,,-119.195,
"Shot - Dead (murder, accidental, suicide)",467764,2015-12-17,California,Lebec,500 block of South Drive,1,0,34.8435,,-118.872,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",467756,2015-12-17,California,Modesto,801 10th Street,1,0,37.6385,Merrill Lynch Building,-120.998,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",467745,2015-12-17,California,San Bernardino,4200 block of North F Street,1,1,34.172,,-117.303,
"Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",468447,2015-12-18,California,Pasadena,600 block of North Mentor Avenue,1,0,34.1563,,-118.131,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Armed robbery with injury/death and/or evidence of DGU found",468897,2015-12-18,California,San Bernardino,400 block of South Rancho Avenue,1,1,34.0962,,-117.333,
"Shot - Dead (murder, accidental, suicide)",468754,2015-12-19,California,El Monte,9900 block of Garvey Avenue,1,0,34.0617,,-118.052,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",469010,2015-12-19,California,Cathedral City,Tortuga Road and Avenida La Vista,1,1,33.8341,,-116.459,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )",468584,2015-12-19,California,Torrance,1000 W. Carson St,1,0,33.8298,Harbor-UCLA Medical Center,-118.295,1.0
"Shot - Dead (murder, accidental, suicide)",469559,2015-12-19,California,Salinas,1395 Nogal Drive,2,0,36.6982,Natividad Creek Park,-121.61,
"Shot - Dead (murder, accidental, suicide)||Armed robbery with injury/death and/or evidence of DGU found",469490,2015-12-20,California,Oakland,900 block of Mandela Parkway,1,0,37.8157,,-122.291,
"Shot - Dead (murder, accidental, suicide)",468734,2015-12-20,California,Oakland,100 block of Hegenberger Place,1,0,37.7363,,-122.194,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",468774,2015-12-20,California,Palmdale,37900 block of 47th Street East,1,0,34.5714,,-118.045,
"Shot - Dead (murder, accidental, suicide)",469494,2015-12-20,California,Hayward,21100 block of Foothill Boulevard,1,0,37.6863,Simm's Custom Cycles,-122.094,1.0
"Shot - Dead (murder, accidental, suicide)",470561,2015-12-20,California,Richmond,5th Street and Market Avenue,1,0,37.9587,,-122.364,
"Shot - Dead (murder, accidental, suicide)",471499,2015-12-20,California,Tarzana,6200 block of Reseda Boulevard,1,0,34.1829,,-118.536,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator shot",469534,2015-12-21,California,Hemet,1400 block of South State Street,1,0,33.7238,,-116.971,
"Shot - Dead (murder, accidental, suicide)||Gang involvement||Drug involvement",470625,2015-12-21,California,La Puente,1200 block of Cedon Drive,1,0,34.0396,,-117.928,
"Shot - Dead (murder, accidental, suicide)",470563,2015-12-21,California,San Francisco,Lincoln Way and Third Avenue,1,0,37.7662,Golden Gate Park,-122.46,
"Shot - Dead (murder, accidental, suicide)",470584,2015-12-21,California,Los Angeles,53rd Street and Compton Avenue,1,0,33.9948,,-118.248,
"Shot - Dead (murder, accidental, suicide)",470565,2015-12-22,California,Los Angeles,14500 block of Saticoy Street,1,0,34.2085,,-118.449,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",470618,2015-12-22,California,Murphys,Murphys Grade Road,2,0,38.1214,,-120.496,1.0
"Shot - Dead (murder, accidental, suicide)||Domestic Violence||Kidnapping/abductions/hostage||Possession of gun by felon or prohibited person",470593,2015-12-22,California,Long Beach,1900 block of Chestnut Avenue,1,0,33.7918,,-118.196,
"Shot - Dead (murder, accidental, suicide)",470575,2015-12-22,California,Los Angeles (county),4900 block of Mason Street,1,0,33.9524,Diamond Touch Body Shop,-118.183,1.0
"Shot - Dead (murder, accidental, suicide)||Gang involvement",471579,2015-12-23,California,Watsonville,Magnolia and Lawrence,1,0,36.9268,,-121.782,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drug involvement",471632,2015-12-23,California,Downey,1200 block of Downey Avenue,1,1,33.9345,,-118.137,
"Shot - Dead (murder, accidental, suicide)||Spree Shooting (multiple victims, multiple locations)",471427,2015-12-23,California,Moreno Valley,23600 block of Lake Valley Drive,1,1,33.9628,,-117.253,1.0
"Shot - Dead (murder, accidental, suicide)||Spree Shooting (multiple victims, multiple locations)",471423,2015-12-23,California,Colton,1200 block of East Washington Street,1,0,34.0474,AMPM gas station,-117.307,
"Shot - Dead (murder, accidental, suicide)",472926,2015-12-23,California,Stockton,Knickerbocker Drive and Knickerbocker Court,1,0,38.023,,-121.292,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",471813,2015-12-24,California,Porterville,,1,0,36.0692,,-119.033,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",471810,2015-12-25,California,Winnetka,20000 block of Cantara Street,1,1,34.2191,,-118.572,
"Shot - Dead (murder, accidental, suicide)",472894,2015-12-25,California,Hesperia,Main Street,1,0,34.425,In-N-Out,-117.325,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",471970,2015-12-25,California,Palo Alto,Middlefield Road and 600 block of Forest Avenue,1,0,37.4492,,-122.154,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",497830,2015-12-26,California,Santa Maria,East Jewel Street and Via Rubio,2,0,34.9697,,-120.433,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",473996,2015-12-27,California,Bakersfield,6300 block of Ming Avenue,2,1,35.3351,,-119.071,
"Shot - Dead (murder, accidental, suicide)",474005,2015-12-27,California,Richmond,South 26th Street and Cutting Boulevard,1,0,37.9251,,-122.345,
"Shot - Dead (murder, accidental, suicide)",473367,2015-12-27,California,Los Angeles,2000 block of Sycamore Avenue,1,0,34.1068,,-118.342,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",474032,2015-12-28,California,Citrus Heights,7900 block of Kingswood Drive,1,1,38.6697,,-121.272,
"Shot - Dead (murder, accidental, suicide)",474012,2015-12-28,California,Fresno,1000 block of Rogers Lane,1,0,36.7329,,-119.701,
"Shot - Dead (murder, accidental, suicide)",475500,2015-12-29,California,Orange,2000 block of East Palmya Avenue,1,0,33.7838,,-117.832,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",475474,2015-12-29,California,Rosemead,3500 block of Strang Avenue,1,0,34.0729,,-118.056,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",474663,2015-12-29,California,Gustine (Santa Nella),29000 block of Del Sol Court,1,0,37.0903,,-121.022,
"Shot - Dead (murder, accidental, suicide)",476480,2015-12-30,California,Richmond,200 block of South Seventh Street,1,0,37.9292,,-122.363,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",475498,2015-12-30,California,Fresno,Weber and Thorne Avenues,1,0,36.7509,California Hotel,-119.813,
"Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Road rage",476497,2015-12-30,California,Los Angeles,Van Nuys Boulevard and Plummer Street,1,0,34.2427,,-118.45,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",475638,2015-12-30,California,Rosemead,3500 block of Strang Avenue,1,0,34.0729,,-118.056,
"Shot - Dead (murder, accidental, suicide)",475942,2015-12-30,California,Stockton,200 block of West Ben Holt Drive,1,0,38.0119,,-121.313,
"Shot - Dead (murder, accidental, suicide)||Defensive Use||Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",476338,2015-12-31,California,Los Angeles,2200 block of Batson Avenue,4,0,33.9799,,-117.905,1.0
"Shot - Dead (murder, accidental, suicide)",476473,2015-12-31,California,Compton,15600 block of South Washington Avenue,1,0,33.8914,,-118.194,
"Shot - Dead (murder, accidental, suicide)",478425,2015-12-31,California,Wasco,1000 block of 16th Street,1,0,35.5837,,-119.337,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",477067,2016-01-01,California,Carson,23400 block of South Avalon Boulevard,1,0,33.8127,,-118.263,
"Shot - Dead (murder, accidental, suicide)",476465,2016-01-01,California,Bakersfield,2700 block of University Avenue,1,0,35.4053,,-118.963,
"Shot - Dead (murder, accidental, suicide)||Domestic Violence",476609,2016-01-01,California,El Cajon,8202 Melrose Lane,1,0,32.8267,,-116.925,
"Shot - Dead (murder, accidental, suicide)",477316,2016-01-01,California,Pomona,Rebecca and Fourth Streets,1,0,34.0558,,-117.757,
"Shot - Dead (murder, accidental, suicide)",476694,2016-01-01,California,Sanger,1620 J St,1,0,36.6939,Sanger Crossing Apartments,-119.564,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",477305,2016-01-01,California,Anaheim,300 block of South Bush Street,1,0,33.8355,,-117.904,
"Shot - Dead (murder, accidental, suicide)",476467,2016-01-01,California,Rancho Cordova,3200 block of Nosler Court,1,0,38.5796,,-121.302,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",477104,2016-01-01,California,San Diego,4200 block of 6th Avenue,1,0,32.7545,,-117.16,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",477453,2016-01-02,California,Ontario,1200 block of West G Street,3,0,34.0706,Bellevue Cemetary,-117.672,
"Shot - Dead (murder, accidental, suicide)",477069,2016-01-02,California,Los Angeles,4600 block of South Crenshaw Boulevard,1,0,34.0023,,-118.331,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",480666,2016-01-05,California,Ceres,2601 Don Pedro Road,1,0,37.5839,,-120.948,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",481470,2016-01-05,California,Santa Cruz,100 block of Chestnut,2,0,36.9667,,-122.029,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",480422,2016-01-05,California,Redding,200 block of Boulder Creek Drive,1,0,40.6137,,-122.37,1.0
"Shot - Dead (murder, accidental, suicide)||Road rage||Possession (gun(s) found during commission of other crimes)",479725,2016-01-05,California,Ontario,1800 block of East G Street and North Vineyard Avenue,1,0,34.0688,,-117.611,
"Shot - Dead (murder, accidental, suicide)||Drug involvement||Armed robbery with injury/death and/or evidence of DGU found",480468,2016-01-06,California,Marina Del Rey,4300 block of Glencoe Avenue,1,0,33.9872,Jerry's Famous Deli,-118.44,
"Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - Resident killed",485624,2016-01-06,California,Redding,Douglas Lane,1,0,40.542,,-122.349,
"Shot - Dead (murder, accidental, suicide)",481448,2016-01-07,California,San Jose,700 block of Pinto Drive,1,0,37.2955,,-121.832,
"Shot - Dead (murder, accidental, suicide)",481920,2016-01-08,California,Los Angeles,9300 block of Western Avenue,1,0,33.9518,,-118.309,
"Shot - Dead (murder, accidental, suicide)||Suicide - Attempt",481341,2016-01-08,California,Los Angeles,James M Wood Boulevard,2,0,34.0553,,-118.283,1.0
"Shot - Dead (murder, accidental, suicide)",482375,2016-01-09,California,Palmdale,2400 block of East Avenue R-4,1,0,34.5694,,-118.087,
"Shot - Dead (murder, accidental, suicide)||Defensive Use||Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",482496,2016-01-09,California,Sacramento,500 block of Bercut Drive,1,0,38.5998,,-121.503,
"Shot - Dead (murder, accidental, suicide)",482336,2016-01-09,California,Oakland,1451 7th Street,1,0,37.8049,West Oakland BART station,-122.295,1.0
"Shot - Dead (murder, accidental, suicide)",482491,2016-01-10,California,Moreno Valley,Oliver Street and Cactus Avenue,1,0,33.9101,,-117.183,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",482990,2016-01-10,California,Fresno,Olive and Jackson Avenues,1,0,36.7577,,-119.748,
"Shot - Dead (murder, accidental, suicide)",483756,2016-01-11,California,Pomona,West Franklin and South Park Avenues,1,0,34.0405,,-117.754,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",483721,2016-01-11,California,Fresno (Calwa),2400 block of South Tenth Street,1,1,36.7142,,-119.757,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Officer Involved Shooting - subject/suspect/perpetrator unarmed||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )||Implied Weapon",483748,2016-01-11,California,San Fernando,San Fernando Road and Hubbard Street,1,0,34.2904,,-118.449,1.0
"Shot - Dead (murder, accidental, suicide)",484556,2016-01-12,California,Carson,21900 block of Grace Avenue,1,0,33.8288,,-118.268,
"Shot - Dead (murder, accidental, suicide)",484563,2016-01-12,California,Modesto,15th and 16th Streets,1,0,37.6429,,-120.992,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",484193,2016-01-12,California,Santa Maria,Main Street and Oakley Avenue,2,0,34.9532,,-120.447,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Officer Involved Incident||Officer Involved Incident - Weapon involved but no shots fired||Officer Involved Shooting - subject/suspect/perpetrator killed||Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff",484546,2016-01-12,California,Costa Mesa,300 block of West Bay Street,1,0,33.6475,,-117.912,1.0
"Shot - Dead (murder, accidental, suicide)",485028,2016-01-13,California,Bakersfield,1029 Knotts Street,1,0,35.3909,,-118.982,
"Shot - Dead (murder, accidental, suicide)",485899,2016-01-14,California,Fresno,3000 block of East Washington Street,1,0,36.7477,,-119.775,1.0
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",485634,2016-01-14,California,Santa Clarita,Shangri-La Drive and Nathan Hills Drive,1,0,34.4196,,-118.46,1.0
"Shot - Dead (murder, accidental, suicide)||Car-jacking||Brandishing/flourishing/open carry/lost/found",486249,2016-01-15,California,Stockton,4500 block of Mist Trail Drive,1,0,37.9037,,-121.323,
"Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",486388,2016-01-15,California,Fresno,Mariposa Street and Madison Avenue,1,0,36.7495,,-119.779,1.0
"Shot - Dead (murder, accidental, suicide)",486656,2016-01-16,California,Salinas,1000 block of Atlantic Street,1,0,36.6887,,-121.617,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",486282,2016-01-16,California,El Cajon,200 block of South Pierce Street,1,0,32.7939,,-116.979,
"Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - subject/suspect/perpetrator killed||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Possession (gun(s) found during commission of other crimes)",486670,2016-01-16,California,Los Angeles,1800 block of Nichols Canyon Road,1,0,34.1038,Hollywood Hills,-118.359,1.0
"Shot - Dead (murder, accidental, suicide)",487587,2016-01-17,California,Bakersfield,3000 block of Whitley Drive,1,0,35.3279,,-119.071,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",487603,2016-01-17,California,North Hills,8800 block of Norwich Avenue,1,0,,San Fernando Valley,,
"Shot - Dead (murder, accidental, suicide)",1040480,2016-01-17,California,Los Angeles,,1,0,33.9776,,-118.255,1.0
"Shot - Dead (murder, accidental, suicide)",487611,2016-01-17,California,Los Angeles (Highland Park),4700 block of North Figueroa Street,1,0,34.1022,Sycamore Grove Park,-118.203,
"Shot - Dead (murder, accidental, suicide)",487282,2016-01-17,California,Winnetka,Keswick Street and Oso Avenue,2,0,34.2096,,-118.575,
"Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - subject/suspect/perpetrator killed||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",488167,2016-01-18,California,Union City,3800 block of Amy Place,1,0,37.5924,,-122.079,
"Shot - Dead (murder, accidental, suicide)",488185,2016-01-18,California,Los Angeles (Boyle Heights),2000 block of East Second Street,1,0,34.0445,,-118.216,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Domestic Violence",490872,2016-01-19,California,Petaluma,North McDowell Boulevard,2,0,38.2632,Petaluma Estates,-122.651,1.0
"Shot - Dead (murder, accidental, suicide)",489441,2016-01-20,California,Oakland,800 block of 56th Street,1,0,37.8407,,-122.27,
"Shot - Dead (murder, accidental, suicide)",489478,2016-01-21,California,Santa Clarita,20900 block of Costa Brava,1,0,34.3719,,-118.512,
"Shot - Dead (murder, accidental, suicide)",490064,2016-01-21,California,Port Hueneme,800 block of Jane Drive,1,0,34.1492,,-119.188,
"Shot - Dead (murder, accidental, suicide)",489842,2016-01-21,California,Clovis,20000 block of Auberry Rd,2,0,36.9698,,-119.624,1.0
"Shot - Dead (murder, accidental, suicide)",490583,2016-01-21,California,Santa Rosa,101 and Prince Memorial Greenway,1,0,38.436,,-122.717,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",489834,2016-01-21,California,Hayward,400 block of West A Street,1,1,37.6662,,-122.108,
"Shot - Dead (murder, accidental, suicide)",490712,2016-01-22,California,Bakersfield,2501 South Chester Avenue,1,0,35.331,Tommy's Liquor,-119.013,
"Shot - Dead (murder, accidental, suicide)",492298,2016-01-23,California,Reedley,East Dinuba and Crawford Avenues,2,0,36.5928,,-119.377,
