incident_characteristics,incident_id,date,state,city_or_county,address,n_killed,n_injured,latitude,location_description,longitude,n_guns_involved
"Shot - Dead (murder, accidental, suicide)||House party",773468,2014-01-11,California,Fillmore,1600 block of Grand Ave,1,0,34.421,,-118.931,1.0
"Shot - Dead (murder, accidental, suicide)",95200,2014-01-11,California,Salinas,North Main ,1,0,36.705,,-121.653,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",95909,2014-01-11,California,Modesto,Santa Fe and El Paso,1,0,37.6141,,-120.989,1.0
"Shot - Dead (murder, accidental, suicide)||Gang involvement",95328,2014-01-12,California,Pomona,S/O Holt Avenue and E/O Reservoir Street ,1,0,34.0628,,-117.732,
"Shot - Dead (murder, accidental, suicide)",174359,2014-01-12,California,Los Angeles,9000 block of Beck Avenue,1,0,34.1687,,-118.383,
"Shot - Dead (murder, accidental, suicide)",95858,2014-01-12,California,Delano,5th Avenue ,1,0,35.7636,,-119.234,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",95894,2014-01-12,California,Fillmore,Grand Avenue ,1,1,34.4319,,-118.93,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",96320,2014-01-13,California,Winton,Golden Bobcat Court ,1,1,37.384,,-120.605,
"Shot - Dead (murder, accidental, suicide)",174354,2014-01-13,California,Los Angeles,746 East 76th Place,1,0,33.9702,,-118.262,
"Shot - Dead (murder, accidental, suicide)",96404,2014-01-13,California,Los Angeles,700 block of East 76th Place,1,0,33.97,,-118.263,
"Shot - Dead (murder, accidental, suicide)",96234,2014-01-13,California,East Palo Alto,2200 block of Dumbarton Avenue,1,0,37.4661,,-122.147,
"Shot - Dead (murder, accidental, suicide)",174352,2014-01-14,California,Los Angeles,1059 West 62nd Street,1,0,33.9835,,-118.293,
"Shot - Dead (murder, accidental, suicide)",96464,2014-01-14,California,San Jose,Loma Verde Drive and Eden Avenue ,1,0,37.2988,,-121.954,
"Shot - Dead (murder, accidental, suicide)||Road rage",96767,2014-01-14,California,Milpitas,Dempsey Road,1,0,37.4245,,-121.883,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",206308,2014-01-14,California,Phelan,13800 block of Eaby Rd,2,0,34.5011,,-117.539,1.0
